gameweek,team_h,team_a,team_h_difficulty,team_a_difficulty
1,1,16,2,5
1,3,19,2,2
1,4,18,3,2
1,5,12,2,3
1,6,13,5,2
1,7,11,4,3
1,9,10,2,2
1,14,20,2,4
1,15,2,3,4
1,17,8,2,2
2,2,9,2,4
2,8,1,5,2
2,10,4,2,3
2,11,3,2,5
2,13,15,3,5
2,16,17,2,2
2,18,14,3,4
2,19,7,3,3
2,20,5,2,2
3,1,10,2,5
3,3,18,3,2
3,4,8,2,2
3,5,19,2,3
3,6,2,3,2
3,7,12,2,3
3,9,20,2,2
3,14,16,2,4
3,15,11,4,4
3,17,13,5,2
4,1,14,3,5
4,4,3,2,2
4,5,15,3,3
4,6,18,3,2
4,7,16,2,3
4,8,20,2,2
4,11,2,3,5
4,12,19,2,2
4,13,10,2,5
4,17,9,2,2
5,2,8,2,4
5,3,7,3,2
5,9,1,5,2
5,10,12,2,3
5,14,5,2,4
5,15,4,2,4
5,16,6,2,2
5,18,17,2,4
5,19,13,5,3
5,20,11,4,2
6,1,18,3,5
6,4,9,2,2
6,5,3,2,3
6,6,14,3,2
6,7,2,3,3
6,8,10,2,2
6,11,19,2,5
6,12,20,2,2
6,13,16,2,5
6,17,15,3,2
7,2,5,2,4
7,3,1,5,2
7,9,12,2,2
7,10,7,3,3
7,12,6,2,2
7,14,8,2,4
7,15,6,2,4
7,16,4,2,2
7,18,11,4,4
7,19,17,2,3
7,20,13,5,2
8,1,13,5,5
8,5,11,4,3
8,6,7,3,2
8,8,16,2,2
8,9,3,2,2
8,10,17,2,3
8,12,18,3,2
8,14,4,2,4
8,19,15,3,3
8,20,2,3,2
9,2,19,2,4
9,3,20,2,2
9,4,6,2,2
9,7,1,5,3
9,11,9,2,5
9,13,5,2,5
9,15,8,2,4
9,16,12,2,2
9,17,14,3,2
9,18,10,2,4
10,1,17,2,5
10,2,12,2,4
10,3,6,2,2
10,5,10,2,3
10,7,4,2,3
10,8,18,3,2
10,11,16,2,5
10,14,13,5,4
10,19,9,2,3
10,20,15,3,2
11,4,19,2,2
11,6,8,2,2
11,9,5,2,2
11,10,14,3,3
11,12,11,4,2
11,13,3,2,5
11,15,1,5,4
11,16,2,3,2
11,17,20,2,2
11,18,7,3,4
12,1,6,2,5
12,2,10,2,4
12,3,15,3,2
12,5,17,2,3
12,7,13,5,3
12,8,9,2,2
12,11,4,2,5
12,14,12,2,4
12,19,16,2,3
12,20,18,3,2
13,4,1,5,2
13,6,19,2,2
13,9,14,3,2
13,10,20,2,3
13,12,8,2,2
13,13,11,4,5
13,15,7,3,4
13,16,5,2,2
13,17,3,2,2
13,18,2,3,4
14,1,20,2,5
14,3,2,3,2
14,4,12,2,2
14,6,17,2,2
14,7,5,2,3
14,11,10,2,5
14,13,18,3,5
14,15,14,3,4
14,16,9,2,2
14,19,8,2,3
15,2,13,5,4
15,5,4,2,3
15,8,3,2,2
15,9,15,3,2
15,10,16,2,3
15,12,1,5,2
15,14,7,3,4
15,17,11,4,2
15,18,19,2,4
15,20,6,2,2
16,2,1,5,4
16,5,6,2,3
16,8,11,4,2
16,9,7,3,2
16,10,19,2,3
16,12,13,5,2
16,14,3,2,4
16,17,4,2,2
16,18,15,3,4
16,20,16,2,2
17,1,5,2,5
17,4,2,3,2
17,6,9,2,2
17,7,17,2,3
17,11,14,3,5
17,13,8,2,5
17,15,10,2,4
17,16,18,3,2
17,19,20,2,3
18,2,17,2,4
18,8,5,2,2
18,10,6,2,3
18,11,1,5,5
18,12,15,3,2
18,16,3,2,2
18,18,9,2,4
18,19,14,3,3
18,20,7,3,2
19,1,19,2,5
19,3,10,2,2
19,4,20,2,2
19,5,18,3,3
19,6,11,4,2
19,7,8,2,3
19,9,13,5,2
19,14,2,3,4
19,15,16,2,4
19,17,12,2,2
20,2,6,2,4
20,8,4,2,2
20,10,1,5,3
20,11,15,3,5
20,12,7,3,2
20,13,17,2,5
20,16,14,3,2
20,18,3,2,4
20,19,5,2,3
20,20,9,2,2
21,1,8,2,5
21,3,11,4,2
21,4,16,2,2
21,5,20,2,3
21,6,12,2,2
21,7,10,2,3
21,9,2,3,2
21,14,18,3,4
21,15,13,5,4
21,17,19,2,2
22,2,15,3,4
22,8,17,2,2
22,10,9,2,3
22,11,7,3,5
22,12,5,2,2
22,13,6,2,5
22,16,1,5,2
22,18,4,2,4
22,19,3,2,3
22,20,14,3,2
23,1,11,4,5
23,3,16,2,2
23,4,13,5,2
23,5,8,2,3
23,6,10,2,2
23,7,20,2,3
23,9,18,3,2
23,14,19,2,4
23,15,12,2,4
23,17,2,3,2
24,2,14,3,4
24,8,7,3,2
24,10,3,2,3
24,11,6,2,5
24,12,17,2,2
24,13,9,2,5
24,16,15,3,2
24,18,5,2,4
24,19,1,5,3
24,20,4,2,2
25,4,11,4,2
25,6,1,5,2
25,9,8,2,2
25,10,2,3,3
25,11,12,2,5
25,12,14,3,2
25,13,7,3,5
25,13,4,2,5
25,15,3,2,4
25,16,19,2,2
25,17,5,2,2
25,18,20,2,4
26,1,15,3,5
26,2,16,2,4
26,3,13,5,2
26,5,9,2,3
26,8,6,2,2
26,14,10,2,4
26,19,4,2,3
26,20,17,2,2
27,4,7,3,2
27,6,3,2,2
27,9,19,2,2
27,10,5,2,3
27,12,2,3,2
27,13,14,3,5
27,15,20,2,4
27,16,11,4,2
27,17,1,5,2
27,18,8,2,4
28,1,4,2,5
28,2,18,3,4
28,3,17,2,2
28,3,12,2,2
28,5,16,2,3
28,7,15,3,3
28,8,12,2,2
28,11,13,5,5
28,14,9,2,4
28,19,6,2,3
28,20,10,2,2
29,6,4,2,2
29,10,18,3,3
29,12,16,2,2
29,19,2,3,3
30,2,20,2,4
30,3,9,2,2
30,4,14,3,2
30,7,6,2,3
30,11,5,2,5
30,13,1,5,5
30,15,19,2,4
30,16,8,2,2
30,17,10,2,2
30,18,12,2,4
31,1,12,2,5
31,3,8,2,2
31,4,5,2,2
31,6,20,2,2
31,7,14,3,3
31,11,17,2,5
31,13,2,3,5
31,15,9,2,4
31,16,10,2,2
31,19,18,3,3
32,2,4,2,4
32,5,1,5,3
32,8,13,5,2
32,9,6,2,2
32,10,15,3,3
32,12,3,2,2
32,14,11,4,4
32,17,7,3,2
32,18,16,2,4
32,20,19,2,2
33,1,2,3,5
33,3,14,3,2
33,4,17,2,2
33,6,5,2,2
33,7,9,2,3
33,11,8,2,5
33,13,12,2,5
33,15,18,3,4
33,16,20,2,2
33,19,10,2,3
34,1,7,3,5
34,2,3,2,4
34,5,13,5,3
34,8,19,2,2
34,8,15,3,2
34,9,16,2,2
34,9,11,4,2
34,10,11,4,3
34,12,4,2,2
34,14,17,2,4
34,17,6,2,2
34,20,1,5,2
34,20,3,2,2
35,2,7,3,4
35,3,5,2,2
35,7,18,3,3
35,9,4,2,2
35,10,8,2,3
35,14,6,2,4
35,15,17,2,4
35,16,13,5,2
35,18,1,5,4
35,19,11,4,3
35,20,12,2,2
36,1,3,2,5
36,4,10,2,2
36,5,2,3,3
36,6,15,3,2
36,7,19,2,3
36,8,14,3,2
36,11,18,3,5
36,12,9,2,2
36,13,20,2,5
36,17,16,2,2
37,2,11,4,4
37,3,4,2,2
37,5,7,3,3
37,9,17,2,2
37,10,13,5,3
37,14,1,5,4
37,14,15,3,4
37,15,5,2,4
37,16,7,3,2
37,18,6,2,4
37,18,13,5,4
37,19,12,2,3
37,20,8,2,2
38,1,9,2,5
38,4,15,3,2
38,5,14,3,3
38,6,16,2,2
38,7,3,2,3
38,8,2,3,2
38,11,20,2,5
38,12,10,2,2
38,13,19,2,5
38,17,18,3,2
