id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
1,Fábio Vieira,Fábio,Ferreira Vieira,3,MID,1,0.0,5.5,55
2,G.Jesus,Gabriel,Fernando de Jesus,4,FWD,1,1.0,7.0,70
3,Gabriel,Gabriel,dos Santos Magalhães,2,DEF,1,12.2,6.0,60
4,Havertz,Kai,Havertz,4,FWD,1,6.2,8.0,80
5,Hein,Karl,Hein,1,GK,1,0.0,4.0,40
6,J.Timber,Jurriën,Timber,2,DEF,1,4.3,5.5,55
7,Jorginho,Jorge Luiz,Frello Filho,3,MID,1,0.2,5.0,50
8,Kiwior,Jakub,Kiwior,2,DEF,1,3.8,5.0,50
9,Martinelli,Gabriel,Martinelli Silva,3,MID,1,3.1,7.0,70
12,Nwaneri,Ethan,Nwaneri,3,MID,1,1.5,4.5,45
13,Ødegaard,Martin,Ødegaard,3,MID,1,5.7,8.5,85
15,Raya,David,Raya Martin,1,GK,1,32.6,5.5,55
16,Rice,Declan,Rice,3,MID,1,4.2,6.5,65
17,Saka,Bukayo,Saka,3,MID,1,20.2,10.0,100
18,Saliba,William,Saliba,2,DEF,1,25.8,6.0,60
20,Thomas,Thomas,Partey,3,MID,1,0.7,5.0,50
21,Tierney,Kieran,Tierney,2,DEF,1,0.1,4.5,45
22,Tomiyasu,Tomiyasu,Takehiro,2,DEF,1,0.0,5.0,50
23,Trossard,Leandro,Trossard,3,MID,1,4.5,7.0,70
24,White,Benjamin,White,2,DEF,1,4.4,6.5,65
25,Zinchenko,Oleksandr,Zinchenko,2,DEF,1,0.9,5.0,50
73,Neto,Norberto,Murara Neto,1,GK,1,0.7,4.5,45
186,Sterling,Raheem,Sterling,3,MID,1,0.8,7.0,70
578,Calafiori,Riccardo,Calafiori,2,DEF,1,1.5,6.0,60
597,Lewis-Skelly,Myles,Lewis-Skelly,3,MID,1,0.4,4.5,45
633,Merino,Mikel,Merino,3,MID,1,1.5,6.0,60
638,Oulad M'hand,Salah-Eddine,Oulad M'hand,3,MID,1,0.0,4.5,45
639,Setford,Tommy,Setford,1,GK,1,0.1,4.5,45
657,Kacurri,Maldini,Kacurri,2,DEF,1,0.0,4.0,40
659,Kabia,Ismeal,Kabia,3,MID,1,0.0,4.5,45
662,Nichols,Josh,Nichols,2,DEF,1,0.1,4.0,40
665,Butler-Oyedeji,Nathan,Butler-Oyedeji,4,FWD,1,0.2,4.5,45
756,Porter,Jack,Porter,1,GK,1,0.0,4.0,40
790,Gower,Jimi,Gower,3,MID,1,0.0,4.5,45
793,Jack Henry-Francis,Jack,Henry-Francis,3,MID,1,0.0,4.5,45
801,Clarke,Brayden,Clarke,2,DEF,1,0.0,4.0,40
28,Bailey,Leon,Bailey,3,MID,2,0.8,6.5,65
29,Barkley,Ross,Barkley,3,MID,2,0.2,5.5,55
30,Barrenechea,Enzo,Barrenechea,3,MID,2,0.0,5.0,50
31,Buendia,Emiliano,Buendía Stati,3,MID,2,0.1,5.5,55
32,Cash,Matty,Cash,2,DEF,2,1.6,4.5,45
33,Dendoncker,Leander,Dendoncker,3,MID,2,0.2,4.5,45
34,Diaby,Moussa,Diaby,3,MID,2,0.0,6.5,65
35,Diego Carlos,Diego Carlos,Santos Silva,2,DEF,2,0.3,4.5,45
36,Digne,Lucas,Digne,2,DEF,2,5.6,4.5,45
37,Dobbin,Lewis,Dobbin,3,MID,2,0.0,5.0,50
38,Duran,Jhon,Durán,4,FWD,2,1.6,6.0,60
39,Gauci,Joe,Gauci,1,GK,2,0.5,4.0,40
40,Hause,Kortney,Hause,2,DEF,2,0.5,4.0,40
41,Iling Jr,Samuel,Iling-Junior,3,MID,2,0.0,5.5,55
42,Kamara,Boubacar,Kamara,3,MID,2,0.1,5.0,50
43,Kesler-Hayden,Kaine,Kesler-Hayden,2,DEF,2,0.0,4.0,40
44,Konsa,Ezri,Konsa Ngoyo,2,DEF,2,9.5,4.5,45
45,Maatsen,Ian,Maatsen,2,DEF,2,1.6,5.0,50
46,Marschall,Filip,Marschall,1,GK,2,0.0,4.0,40
47,Martinez,Emiliano,Martínez Romero,1,GK,2,13.3,5.0,50
48,McGinn,John,McGinn,3,MID,2,0.7,5.5,55
49,Mings,Tyrone,Mings,2,DEF,2,0.2,4.5,45
50,Nedeljkovic,Kosta,Nedeljković,2,DEF,2,0.5,4.0,40
51,Olsen,Robin,Olsen,1,GK,2,0.1,4.5,45
52,Pau,Pau,Torres,2,DEF,2,0.8,4.5,45
53,Ramsey,Jacob,Ramsey,3,MID,2,0.3,5.5,55
54,Rogers,Morgan,Rogers,3,MID,2,25.8,5.0,50
55,Sinisalo,Viljami,Sinisalo,1,GK,2,0.0,4.0,40
56,Sousa,Lino,da Cruz Sousa,2,DEF,2,0.0,4.0,40
57,Tielemans,Youri,Tielemans,3,MID,2,1.1,5.5,55
58,Watkins,Ollie,Watkins,4,FWD,2,29.0,9.0,90
167,Disasi,Axel,Disasi,2,DEF,2,0.4,4.5,45
233,Onana,Amadou,Onana,3,MID,2,2.1,5.0,50
385,Rashford,Marcus,Rashford,3,MID,2,3.7,7.0,70
598,Bogarde,Lamare,Bogarde,2,DEF,2,0.2,4.0,40
640,Swinkels,Sil,Swinkels,2,DEF,2,0.1,4.0,40
641,Zych,Oliwier,Zych,1,GK,2,0.5,4.0,40
656,Young,Kadan,Young,3,MID,2,0.2,4.5,45
679,Broggio,Ben,Broggio,3,MID,2,0.0,4.5,45
710,Jimoh,Jamaldeen,Jimoh,3,MID,2,0.0,4.5,45
725,Malen,Donyell,Malen,3,MID,2,0.2,5.5,55
731,A. Garcia,Andrés,García,2,DEF,2,0.1,4.5,45
762,M.Asensio,Marco,Asensio,3,MID,2,2.4,6.0,60
59,Aarons,Max,Aarons,2,DEF,3,0.1,4.5,45
60,Adams,Tyler,Adams,3,MID,3,0.1,5.0,50
61,Anthony,Jaidon,Anthony,3,MID,3,0.1,4.5,45
62,Brooks,David,Brooks,3,MID,3,0.0,5.0,50
63,Christie,Ryan,Christie,3,MID,3,0.1,5.0,50
64,Cook,Lewis,Cook,3,MID,3,0.1,5.0,50
65,Enes Ünal,Enes,Ünal,4,FWD,3,0.1,5.5,55
66,Faivre,Romain,Faivre,3,MID,3,0.0,5.0,50
67,H.Traorè,Hamed,Traorè,3,MID,3,0.0,4.5,45
68,Hill,James,Hill,2,DEF,3,0.5,4.0,40
69,Jebbison,Daniel,Jebbison,4,FWD,3,1.1,4.5,45
70,Kerkez,Milos,Kerkez,2,DEF,3,20.0,4.5,45
71,Kluivert,Justin,Kluivert,3,MID,3,11.0,5.5,55
72,Mepham,Chris,Mepham,2,DEF,3,0.0,4.5,45
74,O.Dango,Dango,Ouattara,3,MID,3,0.9,5.0,50
75,Paulsen,Alex,Paulsen,1,GK,3,0.0,4.0,40
76,Philip,Philip,Billing,3,MID,3,0.0,5.0,50
77,Scott,Alex,Scott,3,MID,3,0.0,5.0,50
78,Semenyo,Antoine,Semenyo,3,MID,3,8.0,5.5,55
79,Senesi,Marcos,Senesi,2,DEF,3,0.3,5.0,50
80,Sinisterra,Luis,Sinisterra,3,MID,3,0.1,5.0,50
81,Smith,Adam,Smith,2,DEF,3,0.1,4.5,45
83,Tavernier,Marcus,Tavernier,3,MID,3,0.2,5.5,55
84,Travers,Mark,Travers,1,GK,3,0.1,4.5,45
85,Zabarnyi,Illia,Zabarnyi,2,DEF,3,0.5,4.5,45
152,Arrizabalaga,Kepa,Arrizabalaga,1,GK,3,3.7,4.5,45
580,Huijsen,Dean,Huijsen,2,DEF,3,5.0,4.5,45
592,J.Araujo,Julián,Araujo Zúñiga,2,DEF,3,0.1,4.5,45
599,Dennis,Will,Dennis,1,GK,3,0.3,4.0,40
617,Evanilson,Francisco Evanilson,de Lima Barbosa,4,FWD,3,8.5,6.0,60
680,Kinsey,Max,Kinsey,2,DEF,3,0.0,4.0,40
687,Winterburn,Ben,Winterburn,3,MID,3,0.0,4.5,45
702,Harris,Archie,Harris,2,DEF,3,0.0,4.0,40
707,Rees-Dottin,Remy,Rees-Dottin,4,FWD,3,0.1,4.5,45
712,Akinmboni,Matai,Akinmboni,2,DEF,3,0.0,4.0,40
713,Soler,Julio,Soler,2,DEF,3,0.0,4.0,40
722,Adu-Adjei,Daniel,Adu-Adjei,4,FWD,3,0.0,4.5,45
723,Sadi,Dominic,Sadi,3,MID,3,0.0,4.5,45
727,McKenna,Callan,McKenna,1,GK,3,0.0,4.0,40
728,Silcott-Duberry,Zain,Silcott-Duberry,3,MID,3,0.0,4.5,45
86,Ajer,Kristoffer,Ajer,2,DEF,4,0.2,4.5,45
87,Brierley,Ethan,Brierley,3,MID,4,0.1,4.5,45
88,Collins,Nathan,Collins,2,DEF,4,4.5,4.5,45
89,Damsgaard,Mikkel,Damsgaard,3,MID,4,1.2,5.0,50
90,Dasilva,Josh,Dasilva,3,MID,4,0.0,5.0,50
91,Flekken,Mark,Flekken,1,GK,4,10.0,4.5,45
92,Henry,Rico,Henry,2,DEF,4,0.0,4.5,45
93,Hickey,Aaron,Hickey,2,DEF,4,0.0,4.5,45
94,Janelt,Vitaly,Janelt,3,MID,4,0.2,5.0,50
95,Jensen,Mathias,Jensen,3,MID,4,0.1,5.5,55
96,Ji-soo,Kim,Ji-soo,2,DEF,4,0.3,4.0,40
97,Konak,Yunus Emre,Konak,3,MID,4,0.1,4.5,45
98,Lewis-Potter,Keane,Lewis-Potter,3,MID,4,0.1,5.0,50
99,Mbeumo,Bryan,Mbeumo,3,MID,4,46.7,7.0,70
100,Mee,Ben,Mee,2,DEF,4,0.3,4.5,45
101,Nørgaard,Christian,Nørgaard,3,MID,4,0.2,5.0,50
102,Onyeka,Frank,Onyeka,3,MID,4,0.0,5.0,50
103,Peart-Harris,Myles,Peart-Harris,3,MID,4,0.0,4.5,45
104,Pinnock,Ethan,Pinnock,2,DEF,4,0.3,4.5,45
105,Roerslev,Mads,Roerslev Rasmussen,2,DEF,4,0.1,4.5,45
106,Schade,Kevin,Schade,3,MID,4,3.3,5.5,55
107,Thiago,Igor Thiago,Nascimento Rodrigues,4,FWD,4,0.0,6.0,60
108,Toney,Ivan,Toney,4,FWD,4,1.1,7.5,75
109,Valdimarsson,Hákon,Valdimarsson,1,GK,4,2.9,4.0,40
110,Wissa,Yoane,Wissa,4,FWD,4,24.2,6.0,60
111,Yarmoliuk,Yehor,Yarmoliuk,3,MID,4,2.3,4.5,45
112,Zanka,Mathias,Jorgensen,2,DEF,4,0.0,4.5,45
314,Carvalho,Fábio,Freitas Gouveia Carvalho,3,MID,4,0.4,5.0,50
338,Van den Berg,Sepp,van den Berg,2,DEF,4,1.5,4.0,40
602,Trevitt,Ryan,Trevitt,3,MID,4,0.0,4.5,45
634,G.Nunes,Gustavo,Nunes Fernandes Gomes,3,MID,4,0.0,5.0,50
649,Meghoma,Jayden,Meghoma,2,DEF,4,0.0,4.0,40
661,Yogane,Tony,Yogane,3,MID,4,0.0,4.5,45
674,Maghoma,Paris,Maghoma,3,MID,4,0.0,4.5,45
705,Arthur,Benjamin,Arthur,2,DEF,4,0.0,4.0,40
757,Kayode,Michael,Kayode,2,DEF,4,0.1,4.5,45
759,Eyestone,Julian,Eyestone,1,GK,4,0.0,4.0,40
780,Morgan,Iwan,Morgan,4,FWD,4,0.0,4.5,45
786,Benjamin Fredrick,Benjamin,Fredrick,2,DEF,4,0.0,4.0,40
113,Adingra,Simon,Adingra,3,MID,5,0.3,5.5,55
114,Baker-Boaitey,Benicio,Baker-Boaitey,3,MID,5,0.0,4.5,45
115,Baleba,Carlos,Baleba,3,MID,5,0.2,5.0,50
116,Barco,Valentín,Barco,2,DEF,5,1.9,4.0,40
118,Cozier-Duberry,Amario,Cozier-Duberry,3,MID,5,0.0,4.5,45
119,Dahoud,Mahmoud,Dahoud,3,MID,5,0.0,5.0,50
120,Dunk,Lewis,Dunk,2,DEF,5,2.3,4.5,45
122,Estupiñan,Pervis,Estupiñán,2,DEF,5,1.3,5.0,50
124,Gilmour,Billy,Gilmour,3,MID,5,0.0,5.0,50
125,Gross,Pascal,Groß,3,MID,5,0.0,6.5,65
126,Hinshelwood,Jack,Hinshelwood,3,MID,5,0.1,5.0,50
127,I.Osman,Ibrahim,Osman,3,MID,5,0.0,5.0,50
128,Igor,Igor Julio,dos Santos de Paulo,2,DEF,5,0.1,4.5,45
129,João Pedro,João Pedro,Junqueira de Jesus,4,FWD,5,8.5,5.5,55
130,Kozlowski,Kacper,Kozłowski,3,MID,5,0.0,4.5,45
131,Lamptey,Tariq,Lamptey,2,DEF,5,0.2,4.5,45
132,March,Solly,March,3,MID,5,0.0,6.5,65
133,Mazilu,Adrian,Mazilu,3,MID,5,0.0,4.5,45
134,Milner,James,Milner,3,MID,5,0.0,5.0,50
135,Minteh,Yankuba,Minteh,3,MID,5,1.0,5.5,55
136,Mitoma,Mitoma,Kaoru,3,MID,5,6.3,6.5,65
137,Moder,Jakub,Moder,3,MID,5,0.4,4.5,45
138,O’Mahony,Mark,O’Mahony,4,FWD,5,0.2,4.5,45
139,Offiah,Odeluga,Offiah,2,DEF,5,0.1,4.0,40
140,Peupion,Cameron,Peupion,3,MID,5,0.0,4.5,45
141,Sarmiento,Jeremy,Sarmiento Morante,3,MID,5,0.0,5.0,50
142,Steele,Jason,Steele,1,GK,5,0.7,4.5,45
143,Undav,Deniz,Undav,4,FWD,5,0.0,5.5,55
144,Van Hecke,Jan Paul,van Hecke,2,DEF,5,0.7,4.5,45
145,Veltman,Joël,Veltman,2,DEF,5,1.1,4.5,45
146,Verbruggen,Bart,Verbruggen,1,GK,5,2.5,4.5,45
147,Webster,Adam,Webster,2,DEF,5,0.1,4.5,45
148,Welbeck,Danny,Welbeck,4,FWD,5,6.9,5.5,55
149,Wieffer,Mats,Wieffer,3,MID,5,0.1,5.0,50
595,Gruda,Brajan,Gruda,3,MID,5,0.1,5.5,55
600,Ayari,Yasin,Ayari,3,MID,5,0.1,5.0,50
601,Moran,Andrew,Moran,3,MID,5,0.0,5.0,50
615,Rushworth,Carl,Rushworth,1,GK,5,0.1,4.0,40
618,Georginio,Georginio,Rutter,3,MID,5,0.3,5.5,55
628,F.Kadıoğlu,Ferdi,Kadioglu,2,DEF,5,0.1,4.5,45
629,O'Riley,Matt,O'Riley,3,MID,5,0.0,5.5,55
663,Samuels,Imari,Samuels,2,DEF,5,0.0,4.0,40
668,Cahill,Killian,Cahill,1,GK,5,0.9,4.0,40
681,McConville,Ruairi,McConville,2,DEF,5,0.0,4.0,40
685,Slater,Jacob,Slater,2,DEF,5,0.0,4.0,40
714,Gómez,Diego,Gómez,3,MID,5,0.0,5.5,55
758,Knight,Joe,Knight,3,MID,5,0.0,4.5,45
763,Cashin,Eiran,Cashin,2,DEF,5,0.0,4.5,45
791,Charlie Tasker,Charlie,Tasker,2,DEF,5,0.0,4.0,40
794,Freddie Simmonds,Freddie,Simmonds,2,DEF,5,0.0,4.0,40
795,Harry Howell,Harry,Howell,3,MID,5,0.0,4.5,45
150,Andrey Santos,Andrey,Nascimento dos Santos,3,MID,6,0.0,4.5,45
151,Ângelo,Ângelo Gabriel,Borges Damaceno,3,MID,6,0.1,4.5,45
153,B.Badiashile,Benoît,Badiashile,2,DEF,6,0.1,4.5,45
154,Bergström,Lucas,Bergström,1,GK,6,0.2,4.0,40
155,Bettinelli,Marcus,Bettinelli,1,GK,6,0.4,4.0,40
157,Caicedo,Moisés,Caicedo Corozo,3,MID,6,1.0,5.0,50
158,Casadei,Cesare,Casadei,3,MID,6,0.1,4.5,45
159,Chalobah,Trevoh,Chalobah,2,DEF,6,0.7,4.5,45
161,Chukwuemeka,Carney,Chukwuemeka,3,MID,6,0.0,5.0,50
162,Colwill,Levi,Colwill,2,DEF,6,2.4,4.5,45
163,Cucurella,Marc,Cucurella Saseta,2,DEF,6,11.8,5.0,50
164,D.D.Fofana,David Datro,Fofana,4,FWD,6,0.1,5.5,55
165,Deivid,Deivid Washington,de Souza Eugênio,4,FWD,6,0.1,5.0,50
166,Dewsbury-Hall,Kiernan,Dewsbury-Hall,3,MID,6,0.1,6.0,60
168,Enzo,Enzo,Fernández,3,MID,6,4.1,5.0,50
169,Gallagher,Conor,Gallagher,3,MID,6,0.1,6.0,60
170,Gilchrist,Alfie,Gilchrist,2,DEF,6,0.0,4.0,40
171,Gusto,Malo,Gusto,2,DEF,6,1.4,5.0,50
172,James,Reece,James,2,DEF,6,1.1,5.0,50
173,Kellyman,Omari,Kellyman,3,MID,6,0.1,4.5,45
174,Lavia,Roméo,Lavia,3,MID,6,0.4,4.5,45
175,Lukaku,Romelu,Lukaku Bolingoli,4,FWD,6,0.2,6.5,65
176,M.Sarr,Malang,Sarr,2,DEF,6,0.0,4.5,45
177,Madueke,Noni,Madueke,3,MID,6,3.2,6.5,65
178,Marc Guiu,Marc,Guiu Paz,4,FWD,6,0.5,5.0,50
179,Mudryk,Mykhailo,Mudryk,3,MID,6,0.2,6.5,65
180,N.Jackson,Nicolas,Jackson,4,FWD,6,6.2,7.5,75
181,Nkunku,Christopher,Nkunku,3,MID,6,2.0,6.5,65
182,Palmer,Cole,Palmer,3,MID,6,34.3,10.5,105
183,Petrović,Đorđe,Petrović,1,GK,6,0.1,4.5,45
184,Renato Veiga,Renato,Palma Veiga,3,MID,6,0.1,4.5,45
185,Sánchez,Robert,Sánchez,1,GK,6,6.2,4.5,45
187,Tosin,Tosin,Adarabioyo,2,DEF,6,0.3,4.5,45
189,W.Fofana,Wesley,Fofana,2,DEF,6,0.2,4.5,45
386,Sancho,Jadon,Sancho,3,MID,6,0.9,6.5,65
560,Neto,Pedro,Lomba Neto,3,MID,6,1.4,6.5,65
575,Wiley,Caleb,Wiley,2,DEF,6,0.0,4.0,40
581,Jørgensen,Filip,Jørgensen,1,GK,6,0.4,4.5,45
621,João Félix,João,Félix Sequeira,3,MID,6,0.4,6.5,65
695,Rak-Sakyi,Samuel,Rak-Sakyi,3,MID,6,0.0,4.5,45
696,George,Tyrique,George,3,MID,6,0.0,4.5,45
697,Acheampong,Josh,Acheampong,2,DEF,6,0.1,4.0,40
771,Amougou,Mathis,Amougou,3,MID,6,0.0,4.5,45
774,Anselmino,Aaron,Anselmino,2,DEF,6,0.0,4.0,40
781,Mheuka,Shumaira,Mheuka,4,FWD,6,0.0,4.5,45
782,Samuels-Smith,Ishé,Samuels-Smith,2,DEF,6,0.0,4.0,40
787,Genesis Antwi,Genesis,Antwi,2,DEF,6,0.0,4.0,40
11,Nketiah,Eddie,Nketiah,4,FWD,7,0.7,6.0,60
160,Chilwell,Ben,Chilwell,2,DEF,7,0.5,5.0,50
190,Ahamada,Naouirou,Ahamada,3,MID,7,0.1,4.5,45
193,C.Doucouré,Cheick,Doucouré,3,MID,7,0.0,5.0,50
194,C.Richards,Chris,Richards,2,DEF,7,0.2,4.5,45
195,Chadi Riad,Chadi,Riad Dnanou,2,DEF,7,0.0,4.5,45
196,Clyne,Nathaniel,Clyne,2,DEF,7,0.1,4.5,45
